COSTO POR COBRO MP EN 3 CUOTAS ,30%,,,,,,,
COSTO POR OFRECER 6 CUOTAS ,50%,,,,,,,
COSTOS FIJOS (S/A/C/G),"$40,000.00",,,,,,,
GANANCIA 50% mas 10% iibb+manotributo total60%,1.6,,,,,,,
DOLAR,"$1,500.00",,,,,,,
,,,,,,,,
REPARACION,TIPO DE REPARACION,PRECIO DEL REPUESTO EN USD ,PRECIO DEL REPUESTO EN PESOS ,PRECIO CON 60% de ganancia ,PRECIO DE LA REPARACION CON COSTOS FIJOS,PRECIO DE LA REPARACION EN EFECTIVO O TRANSFERENCIA ,PRECIO DE LA CUOTA EN  3 PARTES,PRECIO DE LA REPARACION EN 6 CUOTAS 
Cambio de Bateria AIR 2,IPAD,$40.00,"$60,000.00","$96,000.00","$136,000.00","$190,000.00","$247,000.00","$285,000.00"
Cambio de Bateria AIR 3 / PRO 10.5 2º,IPAD,$60.00,"$90,000.00","$144,000.00","$184,000.00","$199,500.00","$259,350.00","$299,250.00"
Cambio de Bateria  PRO 9.7,IPAD,$50.00,"$75,000.00","$120,000.00","$160,000.00","$199,500.00","$259,350.00","$299,250.00"
Cambio de Bateria PRO 10.5,IPAD,$60.00,"$90,000.00","$144,000.00","$184,000.00","$199,500.00","$259,350.00","$299,250.00"
Cambio de Bateria PRO 11 1º,IPAD,$60.00,"$90,000.00","$144,000.00","$184,000.00","$199,500.00","$259,350.00","$299,250.00"
Cambio de Bateria  PRO 11 2º,IPAD,$60.00,"$90,000.00","$144,000.00","$184,000.00","$199,500.00","$259,350.00","$299,250.00"
Cambio de Bateria  PRO 11 3º/4º,IPAD,$60.00,"$90,000.00","$144,000.00","$184,000.00","$199,500.00","$259,350.00","$299,250.00"
Cambio de Bateria  PRO 12.9 1º,IPAD,$60.00,"$90,000.00","$144,000.00","$184,000.00","$199,500.00","$259,350.00","$299,250.00"
Cambio de Bateria  PRO 12.9 2º,IPAD,$75.00,"$112,500.00","$180,000.00","$220,000.00","$220,000.00","$286,000.00","$330,000.00"
Cambio de Bateria  PRO 12.9 3/4º,IPAD,$75.00,"$112,500.00","$180,000.00","$220,000.00","$220,000.00","$286,000.00","$330,000.00"
Cambio de Bateria  PRO 12.9 5º/6º,IPAD,$75.00,"$112,500.00","$180,000.00","$220,000.00","$220,000.00","$286,000.00","$330,000.00"
Cambio de Boton Home AIR 1,IPAD,$15.00,"$22,500.00","$36,000.00","$76,000.00","$95,000.00","$123,500.00","$142,500.00"
Cambio de Boton Home IPAD 4,IPAD,$15.00,"$22,500.00","$36,000.00","$76,000.00","$95,000.00","$123,500.00","$142,500.00"
Cambio de Boton Home IPAD 5/6,IPAD,$15.00,"$22,500.00","$36,000.00","$76,000.00","$95,000.00","$123,500.00","$142,500.00"
Cambio de Boton Home MINI 3,IPAD,$15.00,"$22,500.00","$36,000.00","$76,000.00","$95,000.00","$123,500.00","$142,500.00"
Cambio de Boton Home MINI 4 / AIR 2 / PRO 12.9 1º,IPAD,$15.00,"$22,500.00","$36,000.00","$76,000.00","$95,000.00","$123,500.00","$142,500.00"
Cambio de Boton Home MINI 5,IPAD,$15.00,"$22,500.00","$36,000.00","$76,000.00","$95,000.00","$123,500.00","$142,500.00"
Cambio de Boton Home  AIR 1,IPAD,$15.00,"$22,500.00","$36,000.00","$76,000.00","$95,000.00","$123,500.00","$142,500.00"
Cambio de Boton Home AIR 3 / PRO 10.5 / PRO 12.9 2º,IPAD,$15.00,"$22,500.00","$36,000.00","$76,000.00","$95,000.00","$123,500.00","$142,500.00"
Cambio de Flex de carga IPAD 2,IPAD,$15.00,"$22,500.00","$36,000.00","$76,000.00","$95,000.00","$123,500.00","$142,500.00"
Cambio de Flex de carga IPAD 3,IPAD,$15.00,"$22,500.00","$36,000.00","$76,000.00","$95,000.00","$123,500.00","$142,500.00"
Cambio de Flex de carga IPAD 4,IPAD,$15.00,"$22,500.00","$36,000.00","$76,000.00","$95,000.00","$123,500.00","$142,500.00"
Cambio de Flex de carga IPAD 5/6 - AIR 1,IPAD,$15.00,"$22,500.00","$36,000.00","$76,000.00","$95,000.00","$123,500.00","$142,500.00"
Cambio de Flex de carga  IPAD 5/6 - AIR 1,IPAD,$15.00,"$22,500.00","$36,000.00","$76,000.00","$95,000.00","$123,500.00","$142,500.00"
Cambio de Flex de carga  IPAD 7/8/9,IPAD,$15.00,"$22,500.00","$36,000.00","$76,000.00","$95,000.00","$123,500.00","$142,500.00"
Cambio de Flex de carga  MINI 1,IPAD,$15.00,"$22,500.00","$36,000.00","$76,000.00","$95,000.00","$123,500.00","$142,500.00"
Cambio de Flex de carga  MINI 2/3,IPAD,$15.00,"$22,500.00","$36,000.00","$76,000.00","$95,000.00","$123,500.00","$142,500.00"
Cambio de Flex de carga   MINI 2/3,IPAD,$15.00,"$22,500.00","$36,000.00","$76,000.00","$95,000.00","$123,500.00","$142,500.00"
Cambio de Flex de carga  MINI 4/5,IPAD,$15.00,"$22,500.00","$36,000.00","$76,000.00","$95,000.00","$123,500.00","$142,500.00"
Cambio de Flex de carga  MINI 4/5,IPAD,$15.00,"$22,500.00","$36,000.00","$76,000.00","$95,000.00","$123,500.00","$142,500.00"
Cambio de Flex de carga  MINI 6,IPAD,$15.00,"$22,500.00","$36,000.00","$76,000.00","$95,000.00","$123,500.00","$142,500.00"
Cambio de Flex de carga   AIR 2,IPAD,$15.00,"$22,500.00","$36,000.00","$76,000.00","$95,000.00","$123,500.00","$142,500.00"
Cambio de Flex de carga   AIR 2,IPAD,$15.00,"$22,500.00","$36,000.00","$76,000.00","$95,000.00","$123,500.00","$142,500.00"
Cambio de Flex de carga   AIR 3,IPAD,$15.00,"$22,500.00","$36,000.00","$76,000.00","$95,000.00","$123,500.00","$142,500.00"
Cambio de Flex de carga  AIR 3,IPAD,$15.00,"$22,500.00","$36,000.00","$76,000.00","$95,000.00","$123,500.00","$142,500.00"
Cambio de Flex de carga  AIR 4 (WIFI),IPAD,$15.00,"$22,500.00","$36,000.00","$76,000.00","$95,000.00","$123,500.00","$142,500.00"
Cambio de Flex de carga   AIR 5 (WIFI),IPAD,$15.00,"$22,500.00","$36,000.00","$76,000.00","$95,000.00","$123,500.00","$142,500.00"
Cambio de Flex de carga   PRO 9.7,IPAD,$15.00,"$22,500.00","$36,000.00","$76,000.00","$95,000.00","$123,500.00","$142,500.00"
Cambio de Flex de carga   PRO 10.5,IPAD,$15.00,"$22,500.00","$36,000.00","$76,000.00","$95,000.00","$123,500.00","$142,500.00"
Cambio de Flex de carga  PRO 11 1º/2º - PRO 12.9 3º/4º,IPAD,$15.00,"$22,500.00","$36,000.00","$76,000.00","$95,000.00","$123,500.00","$142,500.00"
Cambio de Flex de carga  PRO 12.9 1º (WIFI),IPAD,$15.00,"$22,500.00","$36,000.00","$76,000.00","$95,000.00","$123,500.00","$142,500.00"
Cambio de Flex de carga   PRO 12.9 2º (WIFI),IPAD,$15.00,"$22,500.00","$36,000.00","$76,000.00","$95,000.00","$123,500.00","$142,500.00"
Cambio de Flex de carga  PRO 11 3º/4º - PRO 12.9 5º/6º,IPAD,$15.00,"$22,500.00","$36,000.00","$76,000.00","$95,000.00","$123,500.00","$142,500.00"
Cambio de Flex ENCENDIDO Y VOLUMEN  IPAD 2 (EMC2415),IPAD,$15.00,"$22,500.00","$36,000.00","$76,000.00","$95,000.00","$123,500.00","$142,500.00"
Cambio de Flex ENCENDIDO Y VOLUMEN IPAD 3/4,IPAD,$15.00,"$22,500.00","$36,000.00","$76,000.00","$95,000.00","$123,500.00","$142,500.00"
Cambio de Flex  ENCENDIDO Y VOLUMEN IPAD 5/6,IPAD,$15.00,"$22,500.00","$36,000.00","$76,000.00","$95,000.00","$123,500.00","$142,500.00"
Cambio de Flex  ENCENDIDO Y VOLUMEN IPAD 7/8,IPAD,$15.00,"$22,500.00","$36,000.00","$76,000.00","$95,000.00","$123,500.00","$142,500.00"
Cambio de Flex  ENCENDIDO Y VOLUMEN IPAD 9,IPAD,$15.00,"$22,500.00","$36,000.00","$76,000.00","$95,000.00","$123,500.00","$142,500.00"
Cambio de Flex  ENCENDIDO Y VOLUMEN MINI 1 / AIR 1,IPAD,$15.00,"$22,500.00","$36,000.00","$76,000.00","$95,000.00","$123,500.00","$142,500.00"
Cambio de Flex  ENCENDIDO Y VOLUMEN MINI 2/3,IPAD,$15.00,"$22,500.00","$36,000.00","$76,000.00","$95,000.00","$123,500.00","$142,500.00"
Cambio de Flex  ENCENDIDO MINI 4,IPAD,$15.00,"$22,500.00","$36,000.00","$76,000.00","$95,000.00","$123,500.00","$142,500.00"
Cambio de Flex  VOLUMEN MINI 4,IPAD,$15.00,"$22,500.00","$36,000.00","$76,000.00","$95,000.00","$123,500.00","$142,500.00"
Cambio de Flex  ENCENDIDO MINI 5,IPAD,$15.00,"$22,500.00","$36,000.00","$76,000.00","$95,000.00","$123,500.00","$142,500.00"
Cambio de Flex  VOLUMEN MINI 5,IPAD,$15.00,"$22,500.00","$36,000.00","$76,000.00","$95,000.00","$123,500.00","$142,500.00"
Cambio de Flex  ENCENDIDO AIR 2,IPAD,$15.00,"$22,500.00","$36,000.00","$76,000.00","$95,000.00","$123,500.00","$142,500.00"
Cambio de Flex  VOLUMEN AIR 2,IPAD,$15.00,"$22,500.00","$36,000.00","$76,000.00","$95,000.00","$123,500.00","$142,500.00"
Cambio de Flex  ENCENDIDO  AIR 3,IPAD,$15.00,"$22,500.00","$36,000.00","$76,000.00","$95,000.00","$123,500.00","$142,500.00"
Cambio de Flex  VOLUMEN AIR 3,IPAD,$15.00,"$22,500.00","$36,000.00","$76,000.00","$95,000.00","$123,500.00","$142,500.00"
Cambio de Flex  ENCENDIDO AIR 4/5,IPAD,$15.00,"$22,500.00","$36,000.00","$76,000.00","$95,000.00","$123,500.00","$142,500.00"
Cambio de Flex  ENCENDIDO AIR 4,IPAD,$15.00,"$22,500.00","$36,000.00","$76,000.00","$95,000.00","$123,500.00","$142,500.00"
Cambio de Flex  VOLUMEN AIR 4/5 (WIFI),IPAD,$15.00,"$22,500.00","$36,000.00","$76,000.00","$95,000.00","$123,500.00","$142,500.00"
Cambio de Flex  WIFI IPAD 2,IPAD,$15.00,"$22,500.00","$36,000.00","$76,000.00","$95,000.00","$123,500.00","$142,500.00"
Cambio de Flex  WIFI IPAD 3/4,IPAD,$15.00,"$22,500.00","$36,000.00","$76,000.00","$95,000.00","$123,500.00","$142,500.00"
Cambio de Flex  WIFI  IPAD 5/6/7/8 - AIR 1,IPAD,$15.00,"$22,500.00","$36,000.00","$76,000.00","$95,000.00","$123,500.00","$142,500.00"
Cambio de Flex  WIFI  MINI 1/2/3,IPAD,$15.00,"$22,500.00","$36,000.00","$76,000.00","$95,000.00","$123,500.00","$142,500.00"
Cambio de Flex  WIFI  MINI 4/5,IPAD,$15.00,"$22,500.00","$36,000.00","$76,000.00","$95,000.00","$123,500.00","$142,500.00"
Cambio de Flex  WIFI BLUETOOTH   AIR 2,IPAD,$15.00,"$22,500.00","$36,000.00","$76,000.00","$95,000.00","$123,500.00","$142,500.00"
Cambio de Flex  WIFI AIR 3,IPAD,$15.00,"$22,500.00","$36,000.00","$76,000.00","$95,000.00","$123,500.00","$142,500.00"
Cambio de Flex  WIFI GPS AIR 4/5,IPAD,$15.00,"$22,500.00","$36,000.00","$76,000.00","$95,000.00","$123,500.00","$142,500.00"
Cambio de Flex  WIFI  PRO 10.5,IPAD,$15.00,"$22,500.00","$36,000.00","$76,000.00","$95,000.00","$123,500.00","$142,500.00"
Cambio de Flex  WIFI GPS  PRO 12.9 1,IPAD,$15.00,"$22,500.00","$36,000.00","$76,000.00","$95,000.00","$123,500.00","$142,500.00"
Cambio de Flex  WIFI GPS PRO 12.9 2º,IPAD,$15.00,"$22,500.00","$36,000.00","$76,000.00","$95,000.00","$123,500.00","$142,500.00"
FLEX ENCENDIDO IPAD MINI 6,IPAD,$40.00,"$60,000.00","$96,000.00","$136,000.00","$136,000.00","$176,800.00","$204,000.00"
FLEX VOLUMEN IPAD MINI 6 (WIFI),IPAD,$50.00,"$75,000.00","$120,000.00","$160,000.00","$160,000.00","$208,000.00","$240,000.00"
,,,,$0.00,"$40,000.00",,$0.00,$0.00
,,,,$0.00,"$40,000.00",,$0.00,$0.00
,,,,$0.00,"$40,000.00",,$0.00,$0.00
,,,,$0.00,"$40,000.00",,$0.00,$0.00
,,,,$0.00,"$40,000.00",,$0.00,$0.00
,,,,$0.00,"$40,000.00",,$0.00,$0.00
,,,,$0.00,"$40,000.00",,$0.00,$0.00
,,,,$0.00,"$40,000.00",,$0.00,$0.00
,,,,$0.00,"$40,000.00",,$0.00,$0.00
,,,,$0.00,"$40,000.00",,$0.00,$0.00
,,,,$0.00,"$40,000.00",,$0.00,$0.00
,,,,$0.00,"$40,000.00",,$0.00,$0.00
,,,,$0.00,"$40,000.00",,$0.00,$0.00
,,,,$0.00,"$40,000.00",,$0.00,$0.00
,,,,$0.00,"$40,000.00",,$0.00,$0.00
,,,,$0.00,"$40,000.00",,$0.00,$0.00
,,,,$0.00,"$40,000.00",,$0.00,$0.00
,,,,$0.00,"$40,000.00",,$0.00,$0.00
,,,,$0.00,"$40,000.00",,$0.00,$0.00
,,,,$0.00,"$40,000.00",,$0.00,$0.00
,,,,$0.00,"$40,000.00",,$0.00,$0.00
,,,,$0.00,"$40,000.00",,$0.00,$0.00
,,,,$0.00,"$40,000.00",,$0.00,$0.00
,,,,$0.00,"$40,000.00",,$0.00,$0.00
,,,,$0.00,"$40,000.00",,$0.00,$0.00
,,,,$0.00,"$40,000.00",,$0.00,$0.00
,,,,$0.00,"$40,000.00",,$0.00,$0.00
,,,,$0.00,"$40,000.00",,$0.00,$0.00
,,,,$0.00,"$40,000.00",,$0.00,$0.00
,,,,$0.00,"$40,000.00",,$0.00,$0.00
,,,,$0.00,"$40,000.00",,$0.00,$0.00
,,,,$0.00,"$40,000.00",,$0.00,$0.00
,,,,$0.00,"$40,000.00",,$0.00,$0.00
,,,,$0.00,"$40,000.00",,$0.00,$0.00
,,,,$0.00,"$40,000.00",,$0.00,$0.00
,,,,$0.00,"$40,000.00",,$0.00,$0.00
,,,,$0.00,"$40,000.00",,$0.00,$0.00
,,,,$0.00,"$40,000.00",,$0.00,$0.00
,,,,$0.00,"$40,000.00",,$0.00,$0.00
,,,,$0.00,"$40,000.00",,$0.00,$0.00
,,,,$0.00,"$40,000.00",,$0.00,$0.00
,,,,$0.00,"$40,000.00",,$0.00,$0.00
,,,,$0.00,"$40,000.00",,$0.00,$0.00
,,,,$0.00,"$40,000.00",,$0.00,$0.00
,,,,$0.00,"$40,000.00",,$0.00,$0.00
,,,,$0.00,"$40,000.00",,$0.00,$0.00
,,,,$0.00,"$40,000.00",,$0.00,$0.00
,,,,$0.00,"$40,000.00",,$0.00,$0.00
,,,,$0.00,"$40,000.00",,$0.00,$0.00
,,,,$0.00,"$40,000.00",,$0.00,$0.00
,,,,$0.00,"$40,000.00",,$0.00,$0.00
,,,,$0.00,"$40,000.00",,$0.00,$0.00
,,,,$0.00,"$40,000.00",,$0.00,$0.00
,,,,$0.00,"$40,000.00",,$0.00,$0.00
,,,,$0.00,"$40,000.00",,$0.00,$0.00
,,,,$0.00,"$40,000.00",,$0.00,$0.00
,,,,$0.00,"$40,000.00",,$0.00,$0.00
,,,,$0.00,"$40,000.00",,$0.00,$0.00
,,,,$0.00,"$40,000.00",,$0.00,$0.00
,,,,$0.00,"$40,000.00",,$0.00,$0.00
,,,,$0.00,"$40,000.00",,"$52,000.00",$0.00
,,,,$0.00,"$40,000.00",,"$52,000.00",$0.00
,,,,$0.00,"$40,000.00",,"$52,000.00",$0.00
,,,,$0.00,"$40,000.00",,"$52,000.00",$0.00
,,,,$0.00,"$40,000.00",,"$52,000.00",$0.00
,,,,$0.00,"$40,000.00",,"$52,000.00",$0.00
,,,,$0.00,"$40,000.00",,"$52,000.00",$0.00
,,,,$0.00,"$40,000.00",,"$52,000.00",$0.00
,,,,$0.00,"$40,000.00",,"$52,000.00",$0.00
,,,,$0.00,"$40,000.00",,"$52,000.00",$0.00
,,,,$0.00,"$40,000.00",,"$52,000.00",$0.00
,,,,$0.00,"$40,000.00",,"$52,000.00",$0.00
,,,,$0.00,"$40,000.00",,"$52,000.00",$0.00
,,,,$0.00,"$40,000.00",,"$52,000.00",$0.00
,,,,$0.00,"$40,000.00",,"$52,000.00",$0.00
,,,,$0.00,"$40,000.00",,"$52,000.00",$0.00
,,,,$0.00,"$40,000.00",,"$52,000.00",$0.00
,,,,$0.00,"$40,000.00",,"$52,000.00",$0.00
,,,,$0.00,"$40,000.00",,"$52,000.00",$0.00
,,,,$0.00,"$40,000.00",,"$52,000.00",$0.00
,,,,$0.00,"$40,000.00",,"$52,000.00",$0.00
,,,,$0.00,"$40,000.00",,"$52,000.00",$0.00
,,,,$0.00,"$40,000.00",,"$52,000.00",$0.00
,,,,$0.00,"$40,000.00",,"$52,000.00",$0.00
,,,,$0.00,"$40,000.00",,"$52,000.00",$0.00
,,,,$0.00,"$40,000.00",,"$52,000.00",$0.00
,,,,$0.00,"$40,000.00",,"$52,000.00",$0.00
,,,,$0.00,"$40,000.00",,"$52,000.00",$0.00
,,,,$0.00,"$40,000.00",,"$52,000.00",$0.00
,,,,$0.00,"$40,000.00",,"$52,000.00",$0.00
,,,,$0.00,"$40,000.00",,"$52,000.00",$0.00
,,,,$0.00,"$40,000.00",,"$52,000.00",$0.00
,,,,$0.00,"$40,000.00",,"$52,000.00",$0.00
,,,,$0.00,"$40,000.00",,"$52,000.00",$0.00
,,,,$0.00,"$40,000.00",,"$52,000.00",$0.00
,,,,$0.00,"$40,000.00",,,$0.00
,,,,$0.00,"$40,000.00",,,$0.00
,,,,$0.00,"$40,000.00",,,$0.00
,,,,$0.00,"$40,000.00",,,$0.00
,,,,$0.00,"$40,000.00",,,$0.00
,,,,$0.00,"$40,000.00",,,$0.00
,,,,$0.00,"$40,000.00",,,$0.00
,,,,$0.00,"$40,000.00",,,$0.00
,,,,$0.00,"$40,000.00",,,$0.00
,,,,$0.00,"$40,000.00",,,$0.00
,,,,$0.00,"$40,000.00",,,$0.00
,,,,$0.00,"$40,000.00",,,$0.00
,,,,$0.00,"$40,000.00",,,$0.00
,,,,$0.00,"$40,000.00",,,$0.00
,,,,$0.00,"$40,000.00",,,$0.00
,,,,$0.00,"$40,000.00",,,$0.00
,,,,$0.00,"$40,000.00",,,$0.00
,,,,$0.00,"$40,000.00",,,$0.00
,,,,$0.00,"$40,000.00",,,$0.00
,,,,$0.00,"$40,000.00",,,$0.00
,,,,$0.00,"$40,000.00",,,$0.00
,,,,$0.00,"$40,000.00",,,$0.00
,,,,$0.00,"$40,000.00",,,$0.00
,,,,$0.00,"$40,000.00",,,$0.00
,,,,$0.00,"$40,000.00",,,$0.00
,,,,$0.00,"$40,000.00",,,$0.00
,,,,$0.00,"$40,000.00",,,$0.00
,,,,$0.00,"$40,000.00",,,$0.00
,,,,$0.00,"$40,000.00",,,$0.00
,,,,$0.00,"$40,000.00",,,$0.00
,,,,$0.00,"$40,000.00",,,$0.00
,,,,$0.00,"$40,000.00",,,$0.00
,,,,$0.00,"$40,000.00",,,$0.00
,,,,$0.00,"$40,000.00",,,$0.00
,,,,$0.00,"$40,000.00",,,$0.00
,,,,$0.00,"$40,000.00",,,$0.00
,,,,$0.00,"$40,000.00",,,$0.00
,,,,$0.00,"$40,000.00",,,$0.00
,,,,$0.00,"$40,000.00",,,$0.00
,,,,$0.00,"$40,000.00",,,$0.00
,,,,$0.00,"$40,000.00",,,$0.00
,,,,$0.00,"$40,000.00",,,$0.00
,,,,$0.00,"$40,000.00",,,$0.00
,,,,$0.00,"$40,000.00",,,$0.00
,,,,$0.00,"$40,000.00",,,$0.00
,,,,$0.00,"$40,000.00",,,$0.00
,,,,$0.00,"$40,000.00",,,$0.00
,,,,$0.00,"$40,000.00",,,$0.00
,,,,$0.00,"$40,000.00",,,$0.00
,,,,$0.00,"$40,000.00",,,$0.00
,,,,$0.00,"$40,000.00",,,$0.00
,,,,$0.00,"$40,000.00",,,$0.00
,,,,$0.00,"$40,000.00",,,$0.00
,,,,$0.00,"$40,000.00",,,$0.00
,,,,$0.00,"$40,000.00",,,$0.00
,,,,$0.00,"$40,000.00",,,$0.00
,,,,$0.00,"$40,000.00",,,$0.00
,,,,$0.00,"$40,000.00",,,$0.00
,,,,$0.00,"$40,000.00",,,$0.00
,,,,$0.00,"$40,000.00",,,$0.00
,,,,$0.00,"$40,000.00",,,$0.00
,,,,$0.00,"$40,000.00",,,$0.00
,,,,$0.00,"$40,000.00",,,$0.00
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
,,,,$0.00,"$40,000.00",,,"$60,000.00"
