COSTO POR COBRO MP EN 3 CUOTAS ,30%,,,,,,,
COSTO POR OFRECER 6 CUOTAS ,50%,,,,,,,
COSTOS FIJOS (S/A/C/G),"$40,000.00",,,,,,,
GANANCIA 50% mas 10% iibb+manotributo total60%,1.6,,,,,,,
DOLAR,"$1,500.00",,,,,,,
,,,,,,,,
REPARACION,TIPO DE REPARACION,PRECIO DEL REPUESTO EN USD ,PRECIO DEL REPUESTO EN PESOS ,PRECIO CON 60% de ganancia ,PRECIO DE LA REPARACION CON COSTOS FIJOS,PRECIO DE LA REPARACION EN EFECTIVO O TRANSFERENCIA ,PRECIO DE LA CUOTA EN  3 PARTES,PRECIO DE LA REPARACION EN 6 CUOTAS 
Cambio de Modulo iphone 14 pro incell,CAMBIO DE PANTALLA,$80.00,"$120,000.00","$192,000.00","$232,000.00","$232,000.00","$301,600.00","$348,000.00"
Cambio de Modulo iphone 14 pro max original,CAMBIO DE PANTALLA,$220.00,"$330,000.00","$528,000.00","$568,000.00","$568,000.00","$738,400.00","$852,000.00"
Cambio de Modulo iphone 14 pro max incell,CAMBIO DE PANTALLA,$80.00,"$120,000.00","$192,000.00","$232,000.00","$232,000.00","$301,600.00","$348,000.00"
Cambio de Modulo iphone 14 pro max soft oled,CAMBIO DE PANTALLA,$210.00,"$315,000.00","$504,000.00","$544,000.00","$544,000.00","$707,200.00","$816,000.00"
Cambio de Modulo iphone 15 plus original,CAMBIO DE PANTALLA,$180.00,"$270,000.00","$432,000.00","$472,000.00","$472,000.00","$613,600.00","$708,000.00"
Cambio de Modulo iphone 15 plus sof oled ,CAMBIO DE PANTALLA,$160.00,"$240,000.00","$384,000.00","$424,000.00","$424,000.00","$551,200.00","$636,000.00"
Cambio de Modulo iphone 15 plus incell ic,CAMBIO DE PANTALLA,$60.00,"$90,000.00","$144,000.00","$184,000.00","$184,000.00","$239,200.00","$276,000.00"
Cambio de Modulo iphone 15 original,CAMBIO DE PANTALLA,$150.00,"$225,000.00","$360,000.00","$400,000.00","$400,000.00","$520,000.00","$600,000.00"
Cambio de Modulo iphone 15 incell,CAMBIO DE PANTALLA,$50.00,"$75,000.00","$120,000.00","$160,000.00","$160,000.00","$208,000.00","$240,000.00"
Cambio de Modulo iphone 15 soft oled,CAMBIO DE PANTALLA,$135.00,"$202,500.00","$324,000.00","$364,000.00","$364,000.00","$473,200.00","$546,000.00"
Cambio de Modulo iphone 15 pro original,CAMBIO DE PANTALLA,$200.00,"$300,000.00","$480,000.00","$520,000.00","$520,000.00","$676,000.00","$780,000.00"
Cambio de Modulo iphone 15 pro soft oled,CAMBIO DE PANTALLA,$190.00,"$285,000.00","$456,000.00","$496,000.00","$496,000.00","$644,800.00","$744,000.00"
Cambio de Modulo iphone 15 pro max original,CAMBIO DE PANTALLA,$240.00,"$360,000.00","$576,000.00","$616,000.00","$616,000.00","$800,800.00","$924,000.00"
Cambio de Modulo iphone 15 pro max soft oled,CAMBIO DE PANTALLA,$180.00,"$270,000.00","$432,000.00","$472,000.00","$592,000.00","$769,600.00","$888,000.00"
Cambio de Modulo iphone 16 original,CAMBIO DE PANTALLA,$200.00,"$300,000.00","$480,000.00","$520,000.00","$520,000.00","$676,000.00","$780,000.00"
Cambio de Modulo iphone 16 incell  ic,CAMBIO DE PANTALLA,$100.00,"$150,000.00","$240,000.00","$280,000.00","$280,000.00","$364,000.00","$420,000.00"
Cambio de Modulo iphone 16 soft oled ,CAMBIO DE PANTALLA,$190.00,"$285,000.00","$456,000.00","$496,000.00","$496,000.00","$644,800.00","$744,000.00"
Cambio de Modulo iphone 16 plus original,CAMBIO DE PANTALLA,$200.00,"$300,000.00","$480,000.00","$520,000.00","$520,000.00","$676,000.00","$780,000.00"
Cambio de Modulo iphone 16 plus soft oled,CAMBIO DE PANTALLA,$190.00,"$285,000.00","$456,000.00","$496,000.00","$496,000.00","$644,800.00","$744,000.00"
Cambio de Modulo iphone 16 plus incell,CAMBIO DE PANTALLA,$120.00,"$180,000.00","$288,000.00","$328,000.00","$328,000.00","$426,400.00","$492,000.00"
Cambio de Modulo iphone 16 pro original,CAMBIO DE PANTALLA,$200.00,"$300,000.00","$480,000.00","$520,000.00","$520,000.00","$676,000.00","$780,000.00"
Cambio de Modulo iphone 16 pro soft oled,CAMBIO DE PANTALLA,$0.00,$0.00,$0.00,,no hay,#VALUE!,#VALUE!
Cambio de Modulo iphone 16 pro max original,CAMBIO DE PANTALLA,$250.00,"$375,000.00","$600,000.00","$640,000.00","$640,000.00","$832,000.00","$960,000.00"
Cambio de Modulo iphone 16 pro max soft oled,CAMBIO DE PANTALLA,$0.00,$0.00,$0.00,,no hay,#VALUE!,#VALUE!
